mapCoordinates-LogFile


X;Y

0;1887
0;-293
-410;149
762;278
0;1887
0;-293
-410;149
762;278
0;1887
0;-293
-410;149
762;278
0;1677
0;-275
-226;82
729;266
0;1677
0;-275
-226;82
729;266
-2;1677
0;0
0;0
0;0
-2;1642
0;0
0;0
0;0
-2;1686
0;44
0;44
0;44
9;1729
-2;-267
-234;174
806;375
9;1673
-2;-334
-235;218
735;393
9;1782
-2;-225
-234;327
735;502
21;1891
-3;-116
-232;437
738;607
21;1895
-3;-98
-223;543
770;726
22;1982
-2;-10
-222;630
771;813
30;2069
-3;77
-220;719
773;897
29;2040
-3;71
-261;822
755;977
31;2149
-1;180
-259;931
756;1086
44;2258
-4;289
-256;1042
761;1190
43;2228
-3;330
-271;1158
834;1322
46;2337
0;438
-269;1267
836;1431
51;2445
1;547
-266;1377
840;1538
52;2501
0;506
-240;1476
1970;2024
55;2609
3;615
-237;1585
1973;2133
61;2718
4;724
-234;1695
1978;2238
61;2723
5;736
-211;1796
1991;2350
64;2826
7;839
-208;1899
1994;2454
69;2930
9;943
-205;2003
1999;2553
70;2946
8;933
-203;2107
1982;2650
73;3055
12;1041
-199;2216
1985;2759
81;3164
11;1150
-195;2326
1992;2859
81;3168
11;1171
-213;2444
1989;2966
85;3277
15;1279
-209;2552
1993;3075
91;3386
17;1388
-205;2662
1998;3179
91;3403
16;1381
-194;2768
2001;3288
95;3512
20;1490
-190;2877
2005;3397
102;3621
21;1599
-185;2987
2012;3499
102;3606
21;1607
-179;3095
2014;3607
106;3708
25;1709
-175;3197
2018;3709
114;3810
22;1811
-170;3300
2026;3801
113;3801
22;1808
-166;3402
2007;3895
118;3904
27;1912
-161;3505
2012;3999
127;4007
22;2015
-155;3611
2021;4089
127;4006
22;2001
-170;3723
2015;4189
133;4115
27;2110
-164;3832
2020;4298
140;4223
27;2219
-158;3941
2029;4398
141;4229
27;2223
-188;4066
2047;4511
147;4338
33;2332
-182;4175
2053;4619
154;4446
37;2441
-175;4284
2060;4726
153;4431
37;2441
-148;4383
2050;4830
256;6218
138;4176
-65;4459
2102;4953
256;6218
138;4176
-65;4459
2102;4953
2003;4357
-42;4368
149;4367
836;2447
2010;4357
-46;4368
149;4367
826;2474
2010;4357
-46;4368
149;4367
826;2474
2010;4351
-46;4369
149;4367
820;2472
1909;4352
-121;4369
149;4367
812;2494
1991;4351
-39;4369
231;4366
894;2493
2072;4348
42;4368
312;4365
974;2491
2045;4348
22;4368
394;4365
1054;2493
2154;4347
131;4367
503;4364
1163;2492
2262;4337
240;4368
612;4362
1262;2487
2277;4336
235;4368
721;4360
1372;2481
2390;4335
348;4366
834;4359
1486;2479
2504;4331
462;4365
948;4357
1597;2477
2485;4332
435;4365
1061;4355
1712;2472
2594;4330
544;4363
1170;4353
1820;2470
2703;4316
653;4365
1279;4350
1915;2462
2743;4315
675;4365
1388;4348
2025;2457
2852;4313
784;4362
1496;4345
2134;2455
2960;4312
893;4359
1605;4343
2245;2453
2976;4311
961;4357
1714;4340
2337;2498
3085;4309
1070;4355
1824;4338
2447;2496
3194;4300
1180;4355
1933;4335
2548;2490
3155;4301
1133;4357
2042;4332
2679;2422
3263;4298
1240;4354
2150;4329
2787;2419
3370;4293
1348;4352
2258;4326
2890;2414
3373;4293
1332;4353
2365;4322
2984;2452
3478;4290
1436;4350
2470;4319
3089;2448
3583;4281
1542;4352
2575;4316
3184;2441
3591;4280
1562;4351
2680;4312
3301;2400
3700;4276
1670;4347
2789;4308
3410;2397
3809;4272
1779;4345
2898;4304
3517;2392
3820;4271
1775;4345
3007;4300
3617;2414
3929;4267
1884;4341
3116;4296
3726;2410
4037;4259
1993;4342
3225;4292
3827;2403
3991;4261
2002;4341
3333;4288
3924;2436
4100;4257
2111;4337
3442;4283
4033;2432
4209;4250
2220;4337
3551;4279
4135;2425
4274;4247
2193;4338
3660;4274
4249;2406
4383;4242
2303;4333
3769;4269
4358;2401
4492;4234
2412;4334
3879;4264
4459;2394
4485;4235
2435;4333
3988;4259
4567;2393
4594;4229
2544;4328
4097;4253
4676;2388
4702;4224
2653;4324
4205;4248
4783;2382
4693;4224
2664;4324
4314;4243
4893;2372
4802;4219
2773;4318
4423;4237
5002;2367
4911;4211
2882;4320
4532;4231
5102;2358
4921;4211
2902;4319
4641;4226
5213;2347
5018;4205
2999;4313
4737;4220
5309;2342
5114;4199
3095;4314
4834;4215
5400;2335
5083;4201
3059;4316
4931;4209
5477;2394
6818;4102
4763;4219
5027;4204
5547;2475
6818;4102
4763;4219
5027;4204
5547;2475
5926;2651
4895;4433
5027;4204
3868;2820
5955;2601
4888;4443
5027;4204
3850;2799
5955;2601
4888;4443
5027;4204
3850;2799
5993;2624
4883;4440
5027;4204
3884;2771
5982;2642
4835;4518
5027;4204
3800;2664
5895;2784
4829;4527
5027;4204
3841;2717
5895;2784
4829;4527
5027;4204
3841;2717
5431;2590
4935;4571
5027;4204
3451;3139
5433;2584
4942;4545
5027;4204
3439;3130
5433;2584
4942;4545
5027;4204
3439;3130
5425;2615
4922;4623
5027;4204
3482;3159
5468;2626
4911;4620
5027;4204
3511;3118
5480;2584
4923;4577
5039;4162
3523;3075
5548;2559
4921;4531
5052;4120
3575;2981
5537;2593
4897;4608
5065;4078
3680;3011
5501;2706
4893;4622
5079;4037
3716;2987
5501;2706
4893;4622
5079;4037
3716;2987
4922;2650
5079;4037
5079;4037
3407;3633
4925;2677
5079;4037
5079;4037
3275;3602
4925;2677
5079;4037
5079;4037
3275;3602
4921;2678
5079;4037
5079;4037
3273;3607
4926;2727
5079;4037
5079;4037
3319;3618
4922;2689
5074;3999
5074;3999
3314;3580
4909;2652
5070;3961
5070;3961
3307;3554
4912;2680
5065;3923
5065;3923
4176;3718
4902;2593
5054;3837
5054;3837
4166;3631
4890;2507
5044;3750
5044;3750
4155;3546
4895;2548
5033;3664
5033;3664
4180;3468
4881;2434
5019;3550
5019;3550
4166;3354
4858;2322
5004;3437
5004;3437
4149;3246
4857;2312
4989;3323
4989;3323
4171;3141
4844;2214
4976;3226
4976;3226
4158;3043
4828;2118
4963;3129
4963;3129
4145;2949
4836;2180
4950;3031
4950;3031
4045;2833
4822;2072
4936;2923
4936;2923
4030;2725
4819;1962
4923;2815
4923;2815
4020;2606
4810;1886
4910;2707
4910;2707
4108;2521
4797;1777
4896;2598
4896;2598
4095;2412
4820;1665
4887;2489
4887;2489
4094;2272
4821;1684
4879;2380
4879;2380
4147;2180
4812;1564
4869;2260
4869;2260
4137;2060
4822;1442
4862;2140
4862;2140
4136;1922
4822;1439
4855;2020
4855;2020
4247;1837
4816;1324
4849;1906
4849;1906
4240;1723
4828;1209
4845;1791
4845;1791
4242;1592
4828;1205
4842;1677
4842;1677
4030;1408
4825;1096
4839;1568
4839;1568
4027;1299
4837;987
4838;1459
4838;1459
4034;1169
4837;988
4838;1350
4838;1350
4046;1064
4836;874
4838;1235
4838;1235
4045;950
4853;759
4789;2772
4841;1121
4059;808
4853;738
4789;2756
4845;1007
4021;677
4857;618
4793;2636
4849;886
4025;556
4871;498
4753;2514
4856;766
4041;414
4870;524
4752;2523
4863;646
3990;269
4910;-160
4865;609
4870;526
2921;-317
4910;-160
4865;609
4870;526
2921;-317
4186;461
4870;526
4870;526
3958;2443
4204;463
4870;526
4870;526
3971;2416
4204;463
4870;526
4870;526
3971;2416
4205;455
4870;526
4870;526
3950;2406
4248;460
4870;526
4870;526
3941;2425
4215;456
4837;522
4837;522
3909;2421
4186;429
4805;518
4805;518
3806;2381
4246;437
4773;513
4773;513
3747;2426
4379;457
4740;508
4740;508
3778;2305
4379;457
4740;508
4740;508
3778;2305
4384;588
4740;508
4740;508
4476;2529
4343;597
4740;508
4740;508
4483;2480
4343;597
4740;508
4740;508
4483;2480
4342;592
4740;508
4740;508
4459;2477
4370;586
4740;508
4740;508
4464;2446
4312;599
4682;521
4682;521
4405;2458
4254;613
4623;533
4623;533
4357;2473
4375;587
4564;546
4564;546
4298;2490
2634;963
4506;559
4506;559
4421;1180
2634;963
4506;559
4506;559
4421;1180
5034;2400
4469;429
3533;1266
5132;603
5030;2385
4475;450
3537;1263
5104;601
5030;2385
4475;450
3537;1263
5104;601
5024;2387
4475;449
3534;1260
5104;603
5009;2336
4456;383
3527;1265
5089;601
5023;2384
4470;430
3540;1312
5102;649
5046;2428
4482;478
3558;1365
5116;693
5022;2345
4488;499
3626;1372
5047;734
5048;2434
4514;588
3652;1461
5072;823
5077;2522
4540;677
3679;1552
5098;911
5086;2551
4516;598
3662;1673
5156;1002
5116;2655
4547;702
3692;1777
5187;1106
5154;2758
4576;807
3726;1886
5218;1209
5154;2757
4577;809
3757;1990
5261;1314
5185;2861
4608;913
3788;2095
5292;1418
5217;2965
4638;1018
3820;2200
5323;1522
5217;2965
4641;1027
3853;2303
5278;1622
