routeCoordinates-LogFile


X;Y

0;0
0;0
0;0
0;0
0;0
0;0
0;59
0;117
1;176
1;322
3;468
5;614
6;731
8;848
10;965
13;1112
16;1258
20;1404
23;1551
27;1697
31;1843
35;1989
39;2136
43;2282
47;2421
51;2559
55;2698
60;2845
65;2991
70;3137
75;3283
80;3429
86;3575
91;3722
97;3868
103;4014
109;4151
115;4287
121;4424
128;4563
135;4702
142;4841
150;4987
158;5133
166;5279
175;5425
183;5571
192;5717
200;5863
200;5863
200;5863
200;5863
200;5863
200;5863
200;5863
310;5862
419;5861
529;5860
675;5858
822;5856
968;5854
1120;5851
1272;5849
1424;5846
1570;5844
1717;5841
1863;5837
2009;5834
2155;5830
2302;5827
2448;5823
2595;5819
2742;5815
2886;5812
3031;5807
3175;5803
3316;5799
3457;5794
3598;5789
3744;5784
3890;5779
4037;5773
4183;5768
4329;5762
4475;5756
4621;5750
4768;5744
4914;5738
5060;5731
5207;5724
5354;5717
5500;5710
5646;5703
5792;5696
5938;5689
6084;5681
6231;5673
6360;5666
6490;5659
6619;5651
6749;5644
6749;5644
6749;5644
6749;5644
6749;5644
6749;5644
6749;5644
6749;5644
6749;5644
6749;5644
6749;5644
6749;5644
6749;5644
6749;5644
6765;5587
6783;5531
6800;5475
6818;5419
6818;5419
6818;5419
6818;5419
6818;5419
6818;5419
6818;5419
6812;5369
6806;5318
6800;5267
6786;5151
6771;5035
6757;4918
6738;4766
6718;4614
6698;4461
6681;4331
6664;4200
6646;4070
6627;3925
6609;3780
6591;3634
6574;3488
6562;3342
6550;3195
6536;3034
6527;2873
6518;2712
6509;2558
6505;2405
6500;2251
6496;2105
6496;1958
6495;1812
6495;1658
6499;1505
6504;1351
6509;1190
6519;1029
6528;867
6538;706
6538;706
6538;706
6538;706
6538;706
6538;706
6538;706
6494;701
6451;695
6407;689
6364;683
6364;683
6364;683
6364;683
6364;683
6364;683
6364;683
6285;699
6207;716
6128;733
6049;750
6049;750
6049;750
6049;750
6049;750
6049;750
6049;750
6067;813
6086;877
6104;940
6138;1059
6173;1179
6208;1298
6249;1438
6290;1579
6332;1719
6373;1859
6415;1999
6457;2140
