mapCoordinates-LogFile


X;Y

0;2188
0;-405
-609;222
864;314
0;2188
0;-405
-609;222
864;314
-2;2188
0;0
0;0
0;0
-2;1967
0;0
0;0
0;0
-2;1967
0;0
0;0
0;0
-2;1967
0;0
0;0
0;0
-2;1887
0;0
0;0
0;0
-2;1911
0;24
0;24
0;24
8;1935
-1;-205
-348;177
684;294
8;1892
-1;-274
-350;202
670;313
9;1985
-1;-181
-350;295
671;407
13;2078
-1;-88
-349;389
672;498
13;2005
-1;-127
-353;484
628;576
13;2122
-1;-10
-352;601
629;692
272;2218
-53;111
-311;766
672;714
274;2233
-51;120
-308;889
769;845
292;2348
-33;236
-290;1005
786;960
83;2482
48;345
-311;1072
762;1175
83;2481
47;291
-266;1172
771;1294
85;2586
49;396
-264;1278
773;1399
97;2691
46;502
-261;1385
777;1500
96;2683
47;547
-286;1501
813;1616
99;2799
50;663
-283;1618
816;1733
102;2916
53;780
-281;1734
819;1849
102;2918
53;780
-276;1850
2068;2388
104;3034
55;897
-274;1967
2071;2504
113;3151
55;1014
-270;2085
2077;2612
113;3152
57;1095
-217;2181
2038;2715
116;3269
60;1211
-214;2298
2041;2831
123;3385
60;1328
-210;2415
2047;2941
123;3379
58;1262
-259;2553
2045;3056
127;3495
62;1379
-255;2669
2048;3172
131;3612
64;1496
-251;2786
2053;3287
132;3642
64;1499
-253;2905
2098;3417
136;3758
68;1616
-250;3022
2102;3534
278;3861
-87;1749
-206;3185
2194;3365
278;3861
-88;1746
-181;3297
2198;3477
298;3976
-68;1861
-161;3412
2218;3592
202;4103
118;1958
-179;3483
2156;3975
202;4100
119;1981
-177;3601
2162;4092
206;4204
123;2085
-173;3706
2166;4196
216;4309
117;2191
-167;3813
2176;4286
216;4314
116;2176
-166;3920
2168;4387
221;4419
121;2280
-162;4025
2173;4492
228;4524
121;2385
-156;4131
2180;4590
228;4527
120;2366
-151;4236
2198;4699
235;4648
126;2488
-145;4357
2204;4820
241;4769
130;2609
-139;4478
2211;4939
240;4737
133;2668
-85;4579
2202;5055
246;4853
139;2785
-79;4696
2208;5172
253;4970
138;2903
-72;4814
2217;5280
254;4978
135;2845
-103;4948
2220;5396
356;6818
235;4649
5;5021
2339;5547
356;6818
235;4649
5;5021
2339;5547
2143;4698
-16;4946
250;4916
757;2793
2152;4697
-13;4946
250;4916
744;2849
2152;4697
-13;4946
250;4916
744;2849
2151;4687
-12;4947
250;4916
733;2846
1950;4711
-100;4958
250;4916
733;2846
2014;4703
-36;4950
314;4908
797;2838
2077;4690
28;4943
378;4900
854;2829
2103;4686
-68;4955
442;4892
920;2811
2213;4673
42;4942
552;4879
1030;2798
2323;4655
152;4929
662;4865
1135;2783
2309;4657
155;4929
772;4851
1252;2739
2425;4642
271;4914
888;4836
1368;2724
2541;4622
387;4901
1004;4821
1478;2707
2540;4622
445;4894
1120;4806
1568;2809
2660;4607
566;4878
1241;4791
1688;2793
2779;4583
687;4865
1361;4774
1797;2775
2779;4583
643;4871
1481;4758
1929;2706
2895;4567
758;4856
1597;4743
2044;2691
3010;4549
874;4842
1712;4727
2155;2674
3025;4546
861;4843
1828;4711
2270;2661
3141;4531
977;4828
1943;4695
2386;2646
3257;4513
1093;4813
2059;4679
2500;2629
3213;4519
1125;4808
2175;4663
2611;2635
3329;4503
1240;4792
2291;4647
2726;2619
3444;4484
1356;4779
2406;4631
2835;2602
3515;4473
1348;4781
2522;4614
2948;2596
3631;4457
1464;4764
2637;4598
3064;2579
3747;4438
1580;4750
2753;4581
3176;2562
3764;4436
1583;4749
2869;4564
3287;2567
3880;4419
1699;4733
2985;4548
3402;2551
3994;4396
1815;4724
3100;4530
3505;2531
3965;4400
1814;4724
3215;4513
3620;2515
4081;4383
1930;4707
3331;4496
3735;2497
4196;4364
2045;4692
3446;4478
3846;2479
4198;4363
2054;4691
3561;4461
3962;2455
4308;4346
2163;4674
3671;4444
4072;2439
4417;4329
2273;4659
3780;4427
4179;2421
4430;4327
2264;4660
3890;4410
4288;2409
4539;4310
2373;4643
3999;4393
4397;2392
4648;4290
2484;4633
4108;4376
4498;2373
4677;4286
2484;4633
4218;4359
4602;2383
4792;4268
2599;4615
4333;4340
4717;2365
4907;4247
2716;4604
4448;4322
4823;2345
4882;4251
2721;4603
4563;4303
4931;2365
4997;4232
2836;4584
4678;4284
5046;2346
5112;4212
2952;4573
4793;4265
5153;2325
5097;4214
3027;4560
4908;4246
5269;2299
6809;3928
4676;4284
5023;4226
5415;2114
6809;3928
4676;4284
5023;4226
5415;2114
4647;2456
5023;4226
5023;4226
2895;3927
4649;2464
5023;4226
5023;4226
2960;3936
