mapCoordinates-LogFile


X;Y

0;1771
0;-133
-433;157
587;214
0;1771
0;-133
-433;157
587;214
6;1771
0;-133
-432;159
588;212
5;1585
-1;-167
-272;100
575;207
5;1585
-1;-167
-272;100
575;207
2;1585
0;-167
-272;99
574;208
2;1528
0;-228
-266;97
584;212
2;1563
0;-194
-266;132
584;246
9;1597
-1;-160
-266;167
585;278
8;1532
-1;-222
-269;203
630;328
9;1609
-1;-146
-269;279
630;405
19;1685
-2;-69
-267;358
633;477
19;1688
-3;-117
-264;433
536;519
20;1770
-2;-36
-263;514
537;601
26;1851
-2;46
-261;597
538;680
26;1860
-1;92
-270;682
582;776
27;1936
0;169
-269;758
583;853
31;2013
0;245
-267;836
585;928
31;2003
0;232
-278;917
578;1002
32;2089
1;318
-277;1003
580;1088
35;2175
2;405
-275;1089
582;1174
35;2169
2;396
-322;1194
596;1264
37;2250
4;478
-320;1276
597;1345
43;2332
3;559
-318;1359
600;1424
43;2329
5;637
-281;1426
1584;1838
45;2420
7;728
-279;1517
1586;1929
57;2510
4;819
-275;1611
1594;2006
58;2526
4;816
-243;1690
1605;2100
60;2603
6;893
-240;1766
1607;2176
62;2679
8;970
-238;1843
1610;2253
62;2676
7;914
-289;1941
1662;2346
65;2771
10;1009
-286;2036
1665;2441
72;2866
10;1104
-283;2132
1670;2530
72;2888
10;1113
-249;2215
1653;2619
75;2970
13;1194
-246;2296
1655;2700
84;3051
10;1275
-242;2379
1662;2771
84;3046
10;1282
-220;2453
1671;2854
87;3142
14;1378
-216;2549
1675;2949
96;3238
13;1474
-211;2646
1682;3036
96;3236
13;1479
-220;2747
1687;3132
99;3312
17;1556
-217;2824
1691;3209
106;3389
16;1632
-212;2901
1697;3278
105;3378
16;1637
-210;2979
1693;3352
110;3464
20;1723
-206;3065
1697;3438
118;3550
17;1810
-200;3153
1705;3513
118;3548
17;1798
-215;3247
1705;3598
123;3634
22;1884
-210;3333
1710;3684
130;3720
23;1971
-204;3420
1717;3765
130;3723
27;2033
-183;3500
1678;3837
135;3809
32;2120
-178;3586
1683;3924
142;3895
32;2206
-172;3674
1691;4003
143;3898
27;2140
-181;3767
1744;4104
148;3988
33;2231
-175;3857
1750;4194
157;4079
30;2323
-168;3950
1760;4275
157;4084
31;2336
-71;4000
1756;4362
262;5543
139;3837
-79;4097
1788;4460
262;5543
139;3837
-79;4097
1788;4460
1694;3831
-6;4011
151;3995
561;2343
1687;3832
-67;4018
151;3995
567;2318
1687;3832
-67;4018
151;3995
567;2318
1687;3828
-67;4018
151;3995
563;2317
1619;3835
-88;4021
151;3995
552;2361
1648;3832
-59;4017
179;3992
581;2358
1676;3819
-30;4016
208;3988
599;2352
1614;3827
-174;4032
237;3985
661;2207
1685;3818
-103;4024
308;3977
733;2199
1756;3805
-32;4017
379;3968
798;2189
1721;3809
55;4007
451;3960
829;2352
1807;3799
141;3997
536;3950
915;2342
1893;3789
227;3986
622;3940
1000;2332
1924;3786
140;3997
707;3930
1092;2294
2009;3775
226;3987
793;3919
1178;2284
2094;3755
312;3980
878;3909
1251;2271
2088;3756
323;3979
964;3898
1126;3184
2174;3745
409;3968
1049;3887
1212;3174
2259;3729
494;3960
1135;3876
1294;3162
2263;3729
504;3958
1220;3865
1357;3253
2348;3718
590;3947
1306;3854
1442;3242
2434;3709
675;3935
1391;3843
1529;3231
2422;3710
677;3934
1477;3832
1851;2171
2512;3699
768;3923
1567;3820
1941;2159
2602;3682
858;3915
1657;3808
2022;2145
2660;3674
851;3916
1747;3796
1988;2697
2740;3663
931;3905
1828;3785
2069;2686
2820;3648
1013;3898
1908;3774
2145;2674
2791;3652
1084;3888
1989;3763
2319;2225
2876;3640
1169;3876
2075;3751
2405;2213
2961;3622
1256;3870
2160;3739
2481;2199
3014;3615
1197;3878
2246;3726
2574;2149
3103;3602
1285;3865
2335;3713
2663;2137
3191;3587
1374;3855
2423;3700
2748;2123
3162;3592
1371;3855
2512;3687
2835;2117
3247;3579
1456;3843
2598;3675
2921;2104
3332;3560
1543;3839
2683;3661
2993;2088
3324;3561
1569;3835
2769;3648
3074;2097
3405;3549
1650;3823
2849;3635
3154;2084
3486;3537
1731;3809
2930;3623
3237;2072
3520;3531
1735;3808
3011;3610
3320;2047
3605;3518
1821;3795
3096;3597
3405;2034
3689;3502
1907;3788
3181;3583
3482;2019
3696;3501
1899;3789
3266;3570
3560;2043
3776;3488
1979;3776
3346;3557
3640;2030
3856;3473
2061;3768
3427;3544
3715;2016
3766;3488
2088;3763
3507;3530
3794;2012
3856;3473
2178;3748
3597;3516
3883;1997
3945;3459
2267;3734
3687;3501
3973;1983
3999;3450
2260;3735
3776;3486
4062;1973
4079;3437
2340;3722
3857;3473
4142;1960
4159;3422
2422;3715
3937;3460
4216;1945
4195;3416
2424;3715
4017;3446
4294;1944
5227;3242
3627;3512
4097;3433
4364;1984
