routeCoordinates-LogFile


X;Y

0;0
0;0
0;0
0;0
0;0
0;0
0;33
0;66
0;99
1;225
2;352
2;479
3;637
28;793
52;949
76;1106
78;1264
81;1422
83;1565
86;1708
90;1851
93;2009
97;2167
101;2325
104;2484
109;2642
113;2800
117;2958
122;3116
127;3274
132;3433
137;3591
142;3749
147;3907
174;4063
201;4219
228;4375
234;4533
240;4691
246;4833
252;4976
259;5118
266;5260
273;5402
280;5545
288;5709
297;5873
305;6038
313;6196
322;6355
331;6514
340;6672
340;6672
340;6672
340;6672
340;6672
340;6672
340;6672
426;6662
513;6651
600;6641
749;6622
898;6603
1047;6584
1205;6565
1363;6544
1520;6524
1684;6503
1847;6481
2010;6459
2167;6437
2324;6416
2481;6394
2638;6373
2795;6351
2953;6329
3109;6308
3266;6285
3423;6263
3580;6241
3737;6218
3895;6196
4051;6173
4208;6149
4364;6126
4521;6102
4677;6078
4834;6055
4983;6032
5131;6009
5280;5986
5428;5963
5577;5940
5725;5916
5881;5891
6038;5866
6194;5841
6350;5815
6506;5789
6662;5763
6818;5737
6818;5737
6818;5737
6818;5737
